feature,Logistic Regression,Decision Tree,Random Forest,XGBoost,LightGBM,SVM,KNN,Naive Bayes
age,0.07779999999999998,0.09148580741022656,0.09555849443013072,0.0913085824949481,0.07772513407564302,0.0895,0.05955000000000003,0.07140000000000003
bmi,0.010549999999999993,0.02095284534289931,0.05890217767374288,0.02183491232309652,0.05235482755481211,0.015050000000000018,0.007050000000000034,0.006950000000000034
systolic_bp,0.09510000000000002,0.15851597944317936,0.12212822196262918,0.15395170996353943,0.09831614974932909,0.10435000000000001,0.07740000000000002,0.08350000000000006
diastolic_bp,0.05060000000000002,0.07598375716861072,0.09229140423243816,0.07027916555133454,0.07736081971874731,0.06185000000000003,0.04810000000000001,0.045750000000000055
heart_rate,0.026949999999999995,0.04742054636394579,0.07672455062712889,0.048340202820220286,0.06008607063002371,0.04355,0.029049999999999986,0.03685000000000006
oxygen_saturation,0.0754,0.1484678113114397,0.12717345746589795,0.16572436969350296,0.08435110422340297,0.09955,0.07260000000000003,0.09000000000000005
physical_activity_level,0.038650000000000004,0.14610902593481062,0.09864266727931283,0.13270716068465266,0.08040391572441101,0.05130000000000001,0.030549999999999987,0.036600000000000056
gender,0.0030500000000000306,0.003168736804118095,0.01091431326544382,0.0011782867981093366,0.02263726323882273,0.00395000000000002,-0.006749999999999967,0.0022500000000000185
chest_pain,0.05695000000000002,0.07225180724542848,0.045139526368241076,0.06866730634989965,0.05407941107851532,0.05305000000000002,0.04275000000000001,0.05940000000000004
shortness_of_breath,0.023499999999999976,0.01172056408580043,0.02981807336602728,0.02475640439369457,0.04137294279567525,0.02044999999999999,0.014800000000000046,0.036800000000000055
fatigue,0.018099999999999984,0.009942151725543467,0.022714270209516614,0.017837276095618894,0.03455097092816788,0.01795000000000001,0.009200000000000041,0.02070000000000003
dizziness,0.006650000000000012,0.005594426647445134,0.01662159757010037,0.00552528676149043,0.03267048361894992,0.004150000000000031,-0.002499999999999969,0.0029500000000000194
palpitations,0.050449999999999995,0.0722919102318556,0.051642573015049015,0.062257222062483075,0.06436565472474298,0.04800000000000002,0.031100000000000017,0.07080000000000004
leg_swelling,0.04820000000000002,0.08490764487388414,0.05106706284929431,0.06796466770967526,0.058126952927666516,0.04420000000000002,0.03225,0.06185000000000005
persistent_cough,0.03490000000000002,0.0359387928039076,0.034343726364243266,0.04039295723995833,0.04304937321168065,0.032200000000000006,0.016150000000000043,0.04220000000000006
nausea,0.011649999999999983,0.0015295511745779657,0.014781122343282988,0.006970307013865096,0.024391301284342175,0.008250000000000035,0.007350000000000023,0.014200000000000036
excessive_sweating,0.010849999999999993,0.007569373834239922,0.01653792314321087,0.011627515694710914,0.025765789082140545,0.010850000000000026,0.0034500000000000307,0.013550000000000029
smoking,0.007750000000000002,0.002693013899895474,0.011931131825118728,0.004019595773847749,0.02250645696971179,0.005900000000000028,0.0010000000000000343,0.004350000000000032
alcohol_consumption,0.0006500000000000284,0.0014099409481206897,0.010462709240424249,0.0007005811738828306,0.021688943466190044,-0.0006999999999999784,-0.003549999999999964,0.001450000000000029
family_history_cvd,0.004800000000000049,0.002046312750070768,0.012604996768766665,0.0039564894014692846,0.024196434997025045,0.006100000000000027,-0.00119999999999999,0.0048500000000000435
